iter	RMSE
0	109.7119853
1	104.4885997
2	99.5169745
3	94.81642311
4	90.29889181
5	86.04956995
6	81.99656939
7	78.14076628
8	74.4631271
9	70.9692131
10	67.69732862
11	64.56757261
12	61.57746684
13	58.76035617
14	56.07094495
15	53.51970015
16	51.07917456
17	48.75104563
18	46.56009329
19	44.48221102
20	42.52689945
21	40.65536467
22	38.87260028
23	37.18839952
24	35.60842251
25	34.09879839
26	32.66076067
27	31.31092896
28	30.02966239
29	28.82468866
30	27.68345849
31	26.60561852
32	25.58977653
33	24.63784399
34	23.73311444
35	22.88305961
36	22.08691749
37	21.34079989
38	20.6328288
39	19.97237609
40	19.35025999
41	18.76983163
42	18.22329241
43	17.71714679
44	17.24700128
45	16.80154534
46	16.39213537
47	16.00758585
48	15.65205909
49	15.31958534
50	15.01178482
51	14.72922594
52	14.46669074
53	14.22506843
54	13.99890836
55	13.79158242
56	13.60078182
57	13.4248264
58	13.26028249
59	13.11092636
60	12.97323327
61	12.84606636
62	12.7292011
63	12.62201852
64	12.52375964
65	12.43418997
66	12.34892262
67	12.27327108
68	12.19988389
69	12.13361939
70	12.07044183
71	12.01419142
72	11.96106861
73	11.9128459
74	11.86643596
75	11.82503052
76	11.78489339
77	11.74613008
78	11.71303136
79	11.68312754
80	11.6551488
81	11.62706781
82	11.60129157
83	11.5760477
84	11.55312329
85	11.53102716
86	11.51244767
87	11.49444079
88	11.47681305
89	11.45864709
90	11.44218312
91	11.4261645
92	11.41048095
93	11.39712684
94	11.38458189
95	11.36979493
96	11.35904402
97	11.34839115
98	11.33605179
99	11.32415092
100	11.31166523
101	11.30198604
102	11.29306395
103	11.28394971
104	11.27599182
105	11.26664741
106	11.25899122
107	11.25019321
108	11.24363068
109	11.23600639
110	11.2281442
111	11.21903685
112	11.20976024
113	11.20168714
114	11.19417958
115	11.18855373
116	11.17851939
117	11.17290652
118	11.16765179
119	11.16190319
120	11.15635158
121	11.14922021
122	11.14319363
123	11.13744546
124	11.13170686
125	11.12557558
126	11.12123249
127	11.11624833
128	11.11037209
129	11.1065342
130	11.10112005
131	11.09716898
132	11.09346936
133	11.0877577
134	11.08433847
135	11.08054666
136	11.07496684
137	11.07150541
138	11.0675672
139	11.06498099
140	11.05950292
141	11.0534726
142	11.04943908
143	11.04675529
144	11.04257352
145	11.03922398
146	11.03544729
147	11.03116301
148	11.02799338
149	11.02497504
150	11.02285755
151	11.01989844
152	11.0179964
153	11.01370256
154	11.01100674
155	11.00734518
156	11.00382484
157	10.99982735
158	10.99686625
159	10.9930647
160	10.9880984
161	10.98523949
162	10.98298467
163	10.97834304
164	10.97655959
165	10.97187823
166	10.97012831
167	10.9643982
168	10.96190442
169	10.95855162
170	10.95685237
171	10.95402829
172	10.95103237
173	10.94976453
174	10.94692011
175	10.94180978
176	10.93905073
177	10.93780807
178	10.93421298
179	10.93174778
180	10.93039375
181	10.92871717
182	10.92389816
183	10.92089351
184	10.91636033
185	10.9124903
186	10.90993686
187	10.90670676
188	10.90406875
189	10.89873357
190	10.89604438
191	10.89432791
192	10.89029601
193	10.88625483
194	10.8844738
195	10.88111191
196	10.8799511
197	10.87728627
198	10.87495866
199	10.87285982
200	10.87099751
201	10.86926064
202	10.86532345
203	10.86383271
204	10.86249287
205	10.86129689
206	10.85817888
207	10.85341885
208	10.85084324
209	10.84974041
210	10.84569693
211	10.84382793
212	10.84300594
213	10.83966349
214	10.83537045
215	10.83290751
216	10.83068991
217	10.82811172
218	10.82633139
219	10.82300918
220	10.81965465
221	10.81728374
222	10.81435372
223	10.81288309
224	10.81176023
225	10.80947659
226	10.80682792
227	10.80537062
228	10.80148634
229	10.80009741
230	10.79758523
231	10.79478431
232	10.79252913
233	10.79136958
234	10.78941374
235	10.78627832
236	10.78470228
237	10.78147137
238	10.7790818
239	10.77658739
240	10.77374576
241	10.7726949
242	10.77175376
243	10.77040112
244	10.7691412
245	10.76826746
246	10.76730442
247	10.76534689
248	10.76304123
249	10.76153339
250	10.75916836
251	10.75754069
252	10.75644338
253	10.75553857
254	10.75302152
255	10.75028633
256	10.74808401
257	10.74584568
258	10.74417792
259	10.74312266
260	10.74146091
261	10.74019754
262	10.73832818
263	10.73748514
264	10.73638396
265	10.7338384
266	10.73187665
267	10.73105483
268	10.72820075
269	10.72741642
270	10.72615266
271	10.72449523
272	10.72286803
273	10.72122755
274	10.71994714
275	10.71740246
276	10.71611349
277	10.71534502
278	10.7126874
279	10.71115568
280	10.71006946
281	10.70887377
282	10.70710743
283	10.70640831
284	10.70549139
285	10.7034182
286	10.70105864
287	10.69802447
288	10.69574764
289	10.69486583
290	10.69421452
291	10.69321807
292	10.69143235
293	10.68938617
294	10.6887079
295	10.68737769
296	10.68659617
297	10.68604056
298	10.68525995
299	10.68295321
300	10.68085288
301	10.67945607
302	10.67811445
303	10.67575782
304	10.67422273
305	10.67166786
306	10.66985319
307	10.6685519
308	10.66798481
309	10.66662564
310	10.66542638
311	10.66485928
312	10.66398591
313	10.66178506
314	10.65951945
315	10.65896249
316	10.65677321
317	10.65630952
318	10.65483881
319	10.65399899
320	10.65228838
321	10.65050563
322	10.64940196
323	10.64831233
324	10.64692767
325	10.646146
326	10.64525319
327	10.64403878
328	10.64210416
329	10.63999842
330	10.63801856
331	10.63754382
332	10.63699169
333	10.6363189
334	10.63526929
335	10.63334617
336	10.6324495
337	10.63143912
338	10.62964855
339	10.6280415
340	10.62640635
341	10.62478612
342	10.62354626
343	10.62300082
344	10.6222936
345	10.62135016
346	10.62028533
347	10.61974532
348	10.61770058
349	10.61692326
350	10.61648142
351	10.61566328
352	10.61484766
353	10.61443782
354	10.61348432
355	10.61192317
356	10.61048875
357	10.60867452
358	10.60767161
359	10.60587449
360	10.60415852
361	10.60329415
362	10.60209647
363	10.60159099
364	10.60087779
365	10.59974245
366	10.59875174
367	10.59822153
368	10.59732093
369	10.59626026
370	10.59506757
371	10.59444551
372	10.59291194
373	10.59191432
374	10.59104823
375	10.58959303
376	10.58821157
377	10.58732068
378	10.58686025
379	10.58598297
380	10.58527218
381	10.58473318
382	10.58382382
383	10.58345346
384	10.58287777
385	10.58235496
386	10.58133899
387	10.57968281
388	10.57908208
389	10.57742165
390	10.57695679
391	10.57626221
392	10.57554253
393	10.57490781
394	10.57361231
395	10.57233839
396	10.57161152
397	10.57089727
398	10.57048777
399	10.56996926
400	10.56915531
401	10.56769106
402	10.56622803
403	10.5650178
404	10.56440171
405	10.56387269
406	10.5625722
407	10.56178572
408	10.56107437
409	10.55960393
410	10.55892123
411	10.55862656
412	10.55786076
413	10.55669266
414	10.55565167
415	10.55507473
416	10.55382942
417	10.55349494
418	10.55320136
419	10.55271226
420	10.55231079
421	10.55182073
422	10.55102416
423	10.54958506
424	10.54939142
425	10.54823242
426	10.5470646
427	10.54661491
428	10.54560906
429	10.54438645
430	10.54354403
431	10.54299292
432	10.54244128
433	10.54093515
434	10.54022988
435	10.53898706
436	10.53870459
437	10.53837018
438	10.53763897
439	10.53693045
440	10.53627255
441	10.53524576
442	10.53461873
443	10.53401771
444	10.53338568
445	10.53240282
446	10.53185588
447	10.53121929
448	10.53031315
449	10.52925588
450	10.52813006
451	10.5267536
452	10.52596923
453	10.52530307
454	10.52485216
455	10.52359798
456	10.52306583
457	10.52283261
458	10.5221847
459	10.52189019
460	10.52130639
461	10.52078333
462	10.52034127
463	10.52005452
464	10.51949323
465	10.51915195
466	10.51863089
467	10.51807636
468	10.51694955
469	10.51643412
470	10.51561635
471	10.51460018
472	10.51428516
473	10.51384086
474	10.51329756
475	10.51307661
476	10.51271136
477	10.51245152
478	10.51201264
479	10.51152162
480	10.51107797
481	10.51080415
482	10.51017991
483	10.5096228
484	10.5090466
485	10.50809316
486	10.50774647
487	10.50740256
488	10.50688014
489	10.50608287
490	10.50520339
491	10.50460425
492	10.50361429
493	10.5031193
494	10.50278037
495	10.50232924
496	10.50167874
497	10.50112621
498	10.50048484
499	10.50012022
