iter	Passed	Remaining
402	11184	2692
403	11213	2664
404	11242	2637
405	11266	2608
406	11296	2581
407	11319	2552
408	11343	2523
409	11374	2496
410	11396	2467
411	11417	2438
412	11447	2411
413	11477	2384
414	11505	2356
415	11526	2327
416	11559	2300
417	11579	2271
418	11599	2242
419	11623	2214
420	11651	2186
421	11674	2157
422	11699	2129
423	11726	2101
424	11748	2073
425	11780	2046
426	11812	2019
427	11836	1991
428	11868	1964
429	11901	1937
430	11929	1909
431	11956	1882
432	11976	1853
433	12004	1825
434	12028	1797
435	12055	1769
436	12076	1741
437	12098	1712
438	12124	1684
439	12152	1657
440	12176	1629
441	12209	1602
442	12235	1574
443	12255	1545
444	12276	1517
445	12302	1489
446	12326	1461
447	12348	1433
448	12372	1405
449	12397	1377
450	12429	1350
451	12456	1322
452	12481	1294
453	12505	1267
454	12527	1239
455	12556	1211
456	12578	1183
457	12600	1155
458	12628	1128
459	12651	1100
460	12673	1072
461	12696	1044
462	12717	1016
463	12737	988
464	12761	960
465	12783	932
466	12810	905
467	12832	877
468	12859	849
469	12881	822
470	12914	795
471	12944	767
472	12964	740
473	12985	712
474	13007	684
475	13027	656
476	13049	629
477	13068	601
478	13092	573
479	13114	546
480	13139	519
481	13160	491
482	13186	464
483	13209	436
484	13236	409
485	13267	382
486	13288	354
487	13311	327
488	13336	300
489	13367	272
490	13396	245
491	13421	218
492	13450	190
493	13471	163
494	13493	136
495	13514	108
496	13538	81
497	13564	54
498	13587	27
499	13608	0
